Date/Time,Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep) 
 07/02  01:00:00,427500.0,0.0,0.0 
 07/02  01:15:00,427500.0,0.0,0.0 
 07/02  01:30:00,427500.0,0.0,0.0 
 07/02  01:45:00,427500.0,0.0,0.0 
 07/02  02:00:00,427500.0,0.0,0.0 
 07/02  02:15:00,427500.0,0.0,0.0 
 07/02  02:30:00,427500.0,0.0,0.0 
 07/02  02:45:00,427500.0,0.0,0.0 
 07/02  03:00:00,427500.0,0.0,0.0 
 07/02  03:15:00,427500.0,0.0,0.0 
 07/02  03:30:00,427500.0,0.0,0.0 
 07/02  03:45:00,427500.0,0.0,0.0 
 07/02  04:00:00,427500.0,0.0,0.0 
 07/02  04:15:00,427500.0,0.0,0.0 
 07/02  04:30:00,427500.0,0.0,0.0 
 07/02  04:45:00,427500.0,0.0,0.0 
 07/02  05:00:00,427500.0,0.0,0.0 
 07/02  05:15:00,427500.0,0.0,0.0 
 07/02  05:30:00,427500.0,0.0,0.0 
 07/02  05:45:00,427500.0,0.0,0.0 
 07/02  06:00:00,427500.0,0.0,0.0 
 07/02  06:15:00,2143565.4364829957,1120290.7609561589,338740.06447950774 
 07/02  06:30:00,2147141.514945123,1150952.180655283,338740.06447950774 
 07/02  06:45:00,2150381.2626911663,1153515.8795933763,338740.06447950774 
 07/02  07:00:00,2148201.4577332777,1153587.769733595,338740.06447950774 
 07/02  07:15:00,2139888.1423546905,1148234.1077108923,338740.06447950774 
 07/02  07:30:00,2130085.9467307474,1141608.3293294972,338740.06447950774 
 07/02  07:45:00,2120943.1807264993,1135288.7886094865,338740.06447950774 
 07/02  08:00:00,2111796.961715145,1128691.6115146878,338740.06447950774 
 07/02  08:15:00,9574694.157276027,1148675.1604351713,338740.06447950774 
 07/02  08:30:00,9614624.047164857,1178892.949867976,338740.06447950774 
 07/02  08:45:00,9651994.89558276,1204572.1915954691,338740.06447950774 
 07/02  09:00:00,9685959.031205146,1227670.230496072,338740.06447950774 
 07/02  09:15:00,12415389.941505414,1350303.1509921993,350916.2865564213 
 07/02  09:30:00,12637557.508474395,1555015.614493069,365232.43135350797 
 07/02  09:45:00,12832965.451831248,1730698.5889032222,375155.22801588324 
 07/02  10:00:00,12935845.993119296,1825838.6458637626,381503.813388294 
 07/02  10:15:00,13452281.522063296,1986310.576508751,391021.13545241585 
 07/02  10:30:00,13580202.691614645,2100789.0793065,396730.1898406237 
 07/02  10:45:00,13710971.746688763,2217782.4094930477,403932.9355118542 
 07/02  11:00:00,13829593.279547954,2324430.828192269,410662.9585826698 
 07/02  11:15:00,13439308.497585315,2277207.6269534226,400073.68032469973 
 07/02  11:30:00,13521724.165122429,2349376.3504727264,404052.22412060504 
 07/02  11:45:00,13607839.67653983,2427560.4519341267,407934.34820233897 
 07/02  12:00:00,13689442.490919584,2501783.3571314756,411755.9125334819 
 07/02  12:15:00,12377593.197622858,2229572.4650500733,382775.4219914167 
 07/02  12:30:00,12378829.295740413,2224928.4104817547,382385.25967911095 
 07/02  12:45:00,12401613.635751344,2245465.211877447,382642.28261886863 
 07/02  13:00:00,12427811.238251477,2268944.207899138,383441.0402771933 
 07/02  13:15:00,13479285.446119815,2611697.4743363964,416645.5289165811 
 07/02  13:30:00,13550030.607004648,2681541.6932448903,421457.440319707 
 07/02  13:45:00,13615885.534866067,2742327.8832303435,425595.2593444214 
 07/02  14:00:00,13693035.71659945,2813034.823178543,429502.8005198149 
 07/02  14:15:00,14051190.975578193,2932114.474028289,442942.2814664155 
 07/02  14:30:00,14115968.65812379,2990894.8465927253,448292.6112352345 
 07/02  14:45:00,14156155.97102296,3026560.3374210508,451915.3951181054 
 07/02  15:00:00,14183969.730546521,3051379.671537022,454463.97627970035 
 07/02  15:15:00,13620380.94219906,2949888.5672460357,440082.87299337535 
 07/02  15:30:00,13607173.168513916,2935354.0216868487,439142.6128221137 
 07/02  15:45:00,13622859.713412363,2947949.915734227,440788.91895112226 
 07/02  16:00:00,13637948.081262885,2960589.2033683243,442559.2401527047 
 07/02  16:15:00,12507856.500690993,2753880.170588451,418232.32863786904 
 07/02  16:30:00,12502947.668053187,2746281.923935764,418767.5405869574 
 07/02  16:45:00,12480207.398203548,2725338.3559899945,416044.947374107 
 07/02  17:00:00,12419401.138231508,2669526.1354557266,410050.33396110014 
 07/02  17:15:00,12344646.898758085,2599555.819388355,403461.5690384012 
 07/02  17:30:00,12269667.042819433,2528774.836362884,397305.4678953662 
 07/02  17:45:00,12206735.68808754,2468648.297911982,392448.77278335474 
 07/02  18:00:00,12143714.161283111,2408427.792727185,387866.5305252035 
 07/02  18:15:00,7756622.132641117,1671548.8385572494,345148.98588678986 
 07/02  18:30:00,7568546.337461056,1494770.7385766325,343329.4888388374 
 07/02  18:45:00,7455671.662387372,1392598.9262537933,341785.89209015237 
 07/02  19:00:00,7342197.665939374,1289812.9997771317,339951.9396839863 
 07/02  19:15:00,4517043.9220870435,1176900.9630338778,338740.06447950774 
 07/02  19:30:00,4411736.7628034875,1082315.0000595464,338740.06447950774 
 07/02  19:45:00,4314012.422519187,994639.8272289501,338740.06447950774 
 07/02  20:00:00,4216971.306025528,910079.5212707802,338740.06447950774 
 07/02  20:15:00,1440000.0,0.0,0.0 
 07/02  20:30:00,1440000.0,0.0,0.0 
 07/02  20:45:00,1440000.0,0.0,0.0 
 07/02  21:00:00,1440000.0,0.0,0.0 
 07/02  21:15:00,427500.0,0.0,0.0 
 07/02  21:30:00,427500.0,0.0,0.0 
 07/02  21:45:00,427500.0,0.0,0.0 
 07/02  22:00:00,427500.0,0.0,0.0 
 07/02  22:15:00,427500.0,0.0,0.0 
 07/02  22:30:00,427500.0,0.0,0.0 
 07/02  22:45:00,427500.0,0.0,0.0 
 07/02  23:00:00,427500.0,0.0,0.0 
 07/02  23:15:00,427500.0,0.0,0.0 
 07/02  23:30:00,427500.0,0.0,0.0 
 07/02  23:45:00,427500.0,0.0,0.0 
 07/02  24:00:00,427500.0,0.0,0.0 
 07/03  00:15:00,427500.0,0.0,0.0 
 07/03  00:30:00,427500.0,0.0,0.0 
 07/03  00:45:00,427500.0,0.0,0.0 
 07/03  01:00:00,427500.0,0.0,0.0 
 07/03  01:15:00,427500.0,0.0,0.0 
 07/03  01:30:00,427500.0,0.0,0.0 
 07/03  01:45:00,427500.0,0.0,0.0 
 07/03  02:00:00,427500.0,0.0,0.0 
 07/03  02:15:00,427500.0,0.0,0.0 
 07/03  02:30:00,427500.0,0.0,0.0 
 07/03  02:45:00,427500.0,0.0,0.0 
 07/03  03:00:00,427500.0,0.0,0.0 
 07/03  03:15:00,427500.0,0.0,0.0 
 07/03  03:30:00,427500.0,0.0,0.0 
 07/03  03:45:00,427500.0,0.0,0.0 
 07/03  04:00:00,427500.0,0.0,0.0 
 07/03  04:15:00,427500.0,0.0,0.0 
 07/03  04:30:00,427500.0,0.0,0.0 
 07/03  04:45:00,427500.0,0.0,0.0 
 07/03  05:00:00,427500.0,0.0,0.0 
 07/03  05:15:00,427500.0,0.0,0.0 
 07/03  05:30:00,427500.0,0.0,0.0 
 07/03  05:45:00,427500.0,0.0,0.0 
 07/03  06:00:00,427500.0,0.0,0.0 
 07/03  06:15:00,1540935.2397498512,602221.0143044293,338740.0644795076 
 07/03  06:30:00,1532131.7273850616,616741.1792832821,338740.06447950774 
 07/03  06:45:00,1566014.8245920078,648487.5272022274,338740.06447950774 
 07/03  07:00:00,1598097.932958276,678314.3811019377,338740.06447950774 
 07/03  07:15:00,1616585.4021563674,696874.8052639276,338740.06447950774 
 07/03  07:30:00,1632437.5305424423,712928.8219487036,338740.06447950774 
 07/03  07:45:00,1652218.1712348624,730947.5561040309,338740.06447950774 
 07/03  08:00:00,1670644.6432272568,747728.3000442954,338740.06447950774 
 07/03  08:15:00,9194536.21075762,819993.4123953776,347303.633172501 
 07/03  08:30:00,9339906.256500604,957071.0377452766,357596.16050892125 
 07/03  08:45:00,9414969.453278696,1023261.3996629126,360612.1022239749 
 07/03  09:00:00,9506780.251375124,1093822.060330899,363567.6117749753 
 07/03  09:15:00,12330940.772082817,1292104.2433591033,391553.0342995389 
 07/03  09:30:00,12633399.345486447,1560789.4740208639,412993.0361421749 
 07/03  09:45:00,12854072.859015817,1753545.505166014,424945.5235825038 
 07/03  10:00:00,13009941.060873996,1892578.549043154,431715.38744367566 
 07/03  10:15:00,13483365.377281751,2008351.1474878807,441702.3017297959 
 07/03  10:30:00,13609421.293367634,2112514.156160118,449021.2891183683 
 07/03  10:45:00,13714513.581300518,2192261.6601150315,454867.5525657665 
 07/03  11:00:00,13818706.60534351,2263081.7116335477,460962.431120067 
 07/03  11:15:00,13327451.737947537,2133869.2326888777,440394.35667213803 
 07/03  11:30:00,13370184.283138735,2179225.7932722215,440440.6820889221 
 07/03  11:45:00,13410865.369786996,2223009.029643964,440131.0396668561 
 07/03  12:00:00,13444490.07012948,2259822.4376894804,439465.4333453277 
 07/03  12:15:00,12106318.184448758,1974903.8453659953,400097.0566461589 
 07/03  12:30:00,12121590.662255561,1989762.03978433,398209.7686239473 
 07/03  12:45:00,12175200.804418067,2043223.732980222,397890.841266175 
 07/03  13:00:00,12252889.584734792,2118480.318657009,400136.07591511065 
 07/03  13:15:00,13288690.371757578,2441030.597013402,439741.1590808299 
 07/03  13:30:00,13348444.376160767,2497761.5409722095,447431.58593120665 
 07/03  13:45:00,13360444.525765985,2508362.876073275,450821.5937949974 
 07/03  14:00:00,13371268.66198514,2517519.377021973,452656.75774967443 
 07/03  14:15:00,13762327.39425932,2666877.4613471674,467015.612736527 
 07/03  14:30:00,13864589.617539112,2762084.598758378,471762.3050190556 
 07/03  14:45:00,13971198.224945355,2856478.6561557925,476863.3439169538 
 07/03  15:00:00,14065447.784614388,2940853.6707054367,481751.85659927974 
 07/03  15:15:00,13534939.450398332,2871360.451994408,469073.68117207725 
 07/03  15:30:00,13557807.70228942,2889729.1843563053,472147.7767155211 
 07/03  15:45:00,13574219.255141005,2904016.1492962935,473403.1313639931 
 07/03  16:00:00,13576524.15197302,2905934.0037470693,473503.1245229442 
 07/03  16:15:00,12421548.461213028,2681299.8688055347,441404.64495886327 
 07/03  16:30:00,12391203.12104583,2650912.8018684858,438868.3184323094 
 07/03  16:45:00,12368173.808935627,2630045.6161663122,434369.61647970596 
 07/03  17:00:00,12333151.757502886,2598197.2073544,428786.2031755195 
 07/03  17:15:00,12297788.520250645,2565810.3483190723,422707.9567375243 
 07/03  17:30:00,12253885.95113476,2525122.767078891,416180.03016031766 
 07/03  17:45:00,12207616.741998276,2481825.7717472077,409878.31205417414 
 07/03  18:00:00,12156750.982641835,2434028.233343101,403498.4495387258 
 07/03  18:15:00,7740777.71277844,1668817.9529768855,349255.9550926251 
 07/03  18:30:00,7542865.197760755,1477686.4145233463,343771.0112799135 
 07/03  18:45:00,7465631.887268663,1404627.9299245863,340969.0078180173 
 07/03  19:00:00,7409967.531851208,1352325.471655912,339055.51204454084 
 07/03  19:15:00,4689917.887759746,1333155.621703197,338740.06447950774 
 07/03  19:30:00,4674039.188281519,1317937.0282906238,338740.06447950774 
 07/03  19:45:00,4659397.818425692,1304078.8625234123,338740.06447950774 
 07/03  20:00:00,4644698.136584272,1290611.758860751,338740.06447950774 
 07/03  20:15:00,1440000.0,0.0,0.0 
 07/03  20:30:00,1440000.0,0.0,0.0 
 07/03  20:45:00,1440000.0,0.0,0.0 
 07/03  21:00:00,1440000.0,0.0,0.0 
 07/03  21:15:00,427500.0,0.0,0.0 
 07/03  21:30:00,427500.0,0.0,0.0 
 07/03  21:45:00,427500.0,0.0,0.0 
 07/03  22:00:00,427500.0,0.0,0.0 
 07/03  22:15:00,427500.0,0.0,0.0 
 07/03  22:30:00,427500.0,0.0,0.0 
 07/03  22:45:00,427500.0,0.0,0.0 
 07/03  23:00:00,427500.0,0.0,0.0 
 07/03  23:15:00,427500.0,0.0,0.0 
 07/03  23:30:00,427500.0,0.0,0.0 
 07/03  23:45:00,427500.0,0.0,0.0 
 07/03  24:00:00,427500.0,0.0,0.0 
 07/04  00:15:00,427500.0,0.0,0.0 
 07/04  00:30:00,427500.0,0.0,0.0 
 07/04  00:45:00,427500.0,0.0,0.0 
 07/04  01:00:00,427500.0,0.0,0.0 
 07/04  01:15:00,427500.0,0.0,0.0 
 07/04  01:30:00,427500.0,0.0,0.0 
 07/04  01:45:00,427500.0,0.0,0.0 
 07/04  02:00:00,427500.0,0.0,0.0 
 07/04  02:15:00,427500.0,0.0,0.0 
 07/04  02:30:00,427500.0,0.0,0.0 
 07/04  02:45:00,427500.0,0.0,0.0 
 07/04  03:00:00,427500.0,0.0,0.0 
