Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Mean Air Temperature [C](TimeStep),SPACE1-1:Zone Mean Air Temperature [C](TimeStep),SPACE2-1:Zone Mean Air Temperature [C](TimeStep),SPACE3-1:Zone Mean Air Temperature [C](TimeStep),SPACE4-1:Zone Mean Air Temperature [C](TimeStep),SPACE5-1:Zone Mean Air Temperature [C](TimeStep),PLENUM-1:Zone Air Relative Humidity [%](TimeStep),PLENUM-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Air Relative Humidity [%](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Air Relative Humidity [%](TimeStep),SPACE2-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Air Relative Humidity [%](TimeStep),SPACE3-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Air Relative Humidity [%](TimeStep),SPACE4-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Air Relative Humidity [%](TimeStep),SPACE5-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),OCCUPY-1:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep) 
 07/14  04:15:00,17.474999999999998,21.87396420956119,21.092690417633982,21.112835619068992,21.067456512371663,21.134747128259146,21.64272948671789,59.11009954915296,0.0,0.0,60.013450517665746,18.0,27.0,57.122100169087744,18.0,27.0,60.38611164344708,18.0,27.0,56.85638471349213,18.0,27.0,63.89516901698984,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/14  04:30:00,17.75,21.776051433898427,21.081536895592993,21.096935948062555,21.057322397927106,21.115977381239535,21.612667067021775,59.46466392851298,0.0,0.0,60.054580372533465,18.0,27.0,57.177909148875926,18.0,27.0,60.42372353878249,18.0,27.0,56.9219551972179,18.0,27.0,64.0127801078298,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/14  04:45:00,18.025000000000002,21.694749739633007,21.090523880224243,21.155112855849662,21.159827494719824,21.12391043005021,21.585255888334686,59.76089579536791,0.0,0.0,60.02143486034394,18.0,27.0,56.97400155991675,18.0,27.0,60.0445161244054,18.0,27.0,56.894232036774326,18.0,27.0,64.12022781955142,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/14  05:00:00,18.3,21.629080174755455,21.116335596176498,21.28565093924575,21.361160437533616,21.154957872595002,21.562986408280636,60.001381503326975,0.0,0.0,59.926357914966275,18.0,27.0,56.51944354308257,18.0,27.0,59.30747937668374,18.0,27.0,56.78587178596794,18.0,27.0,64.20767155628427,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/14  05:15:00,18.575000000000003,21.586815727512114,21.153703432296485,21.453072848469066,21.59237568302183,21.20197512597204,21.547738098014207,60.17185020683953,0.0,0.0,59.80403403219397,18.0,27.0,55.956466219295976,18.0,27.0,58.48827761131198,18.0,27.0,56.636445613186915,18.0,27.0,64.28377148559422,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/14  05:30:00,18.85,21.55854442272039,21.205059788698286,21.67372589010005,21.86374838830097,21.265109222777102,21.540699888908605,60.29118518958123,0.0,0.0,59.63077819387309,18.0,27.0,55.21975159390028,18.0,27.0,57.54054743769033,18.0,27.0,56.43164475632905,18.0,27.0,64.32763006935272,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/14  05:45:00,19.125,21.5375860205807,21.269242501302788,21.894802251459346,22.10424259155044,21.34901331403245,21.541957852126746,60.383741828960716,0.0,0.0,59.41132815132787,18.0,27.0,54.492568268268116,18.0,27.0,56.71675238944756,18.0,27.0,56.15613657604435,18.0,27.0,64.33883044008246,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/14  06:00:00,19.4,21.531821863033855,21.347458770218655,22.125014699512317,22.326801029705436,21.453952819908285,21.550395689740824,60.4202176188293,0.0,0.0,59.14189618141265,18.0,27.0,53.74626073251254,18.0,27.0,55.96730315747072,18.0,27.0,55.81018610515021,18.0,27.0,64.32175300958531,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/14  06:15:00,19.7,21.543058075277074,21.43881835087193,22.37330237034955,22.547635287555547,21.575795648249574,21.565233181026638,60.39382906749603,0.0,0.0,58.82646109727452,18.0,27.0,52.95323374171536,18.0,27.0,55.23481180264318,18.0,27.0,55.40930563826599,18.0,27.0,64.27949839589282,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/14  06:30:00,20.0,21.57062422833683,21.54149441126042,22.635496355971195,22.76617753460266,21.71122968224329,21.586074085267725,60.30714911569724,0.0,0.0,58.47241517506143,18.0,27.0,52.12937696256712,18.0,27.0,54.52072082170832,18.0,27.0,54.96599268851746,18.0,27.0,64.21367619550217,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/14  06:45:00,20.3,21.61717370510141,21.646936516592767,22.924482825316232,22.9923386571901,21.848745526467965,21.61124439629107,60.15071691519127,0.0,0.0,58.11106058445823,18.0,27.0,51.2374134142792,18.0,27.0,53.7926767661626,18.0,27.0,54.51991719262422,18.0,27.0,64.1309508094042,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/14  07:00:00,20.6,21.685121593003622,21.77962122379002,23.296781505772813,23.272381361390927,22.015523507663364,21.646843368563523,59.916294783524364,0.0,0.0,57.65606331738657,18.0,27.0,50.10916998376236,18.0,27.0,52.902620181140094,18.0,27.0,53.98132792567388,18.0,27.0,64.00750107279488,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/14  07:15:00,20.875,21.77524087097765,21.922961634529436,23.73469325270935,23.577589591725935,22.186140551666533,21.687856595748663,59.57222343762984,0.0,0.0,57.139279407027395,18.0,27.0,48.791591719415045,18.0,27.0,51.92447339229848,18.0,27.0,53.409501336916044,18.0,27.0,63.8311601516606,18.0,27.0,0.0,1237500.0,0.0,0.0 
 07/14  07:30:00,21.15,21.886220812359426,22.07860178249754,24.21134806780048,23.88253215952261,22.366193277346287,21.736322470582287,59.154967046240145,0.0,0.0,56.58520593993133,18.0,27.0,47.40217975493134,18.0,27.0,50.967164645898634,18.0,27.0,52.81411917060355,18.0,27.0,63.62635960693281,18.0,27.0,0.0,1237500.0,0.0,0.0 
