Date/Time,Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep) 
 07/01  10:45:00,12831189.861642228,1379968.126793988,344596.09494533273 
 07/01  11:00:00,12950878.187780501,1487974.7886988488,348829.06171029544 
 07/01  11:15:00,12603691.956518782,1473272.3468506243,346689.31049354776 
 07/01  11:30:00,12646620.747492045,1513210.475856103,348601.7050762228 
 07/01  11:45:00,12690153.366428118,1554984.049265161,350360.23554026085 
 07/01  12:00:00,12731643.773125555,1594673.8568302037,352160.3469946309 
 07/01  12:15:00,11568833.422000919,1451203.3424612007,343977.5818662784 
 07/01  12:30:00,11581050.6292796,1461787.7993947773,344302.3099910857 
 07/01  12:45:00,11602410.775965242,1481408.645505295,344752.2062485716 
 07/01  13:00:00,11619582.818993418,1496898.265456702,345164.2348953831 
 07/01  13:15:00,12461603.725258745,1656307.3760518902,354739.496033824 
 07/01  13:30:00,12500919.487430574,1694523.7944081484,357886.0049075277 
 07/01  13:45:00,12480323.879375951,1676235.3648866068,357700.46519327816 
 07/01  14:00:00,12470172.512548262,1668005.5210504057,357971.3394128546 
 07/01  14:15:00,12758013.728359375,1727756.1863556227,361061.1611204058 
 07/01  14:30:00,12786032.821247121,1754942.5981952427,361893.51175638766 
 07/01  14:45:00,12780161.408640146,1750016.6750396565,360948.08211776725 
 07/01  15:00:00,12758080.35138019,1729647.8314552815,359236.116027356 
 07/01  15:15:00,12136649.680578979,1570083.8517477636,352250.635857033 
 07/01  15:30:00,12049907.574147526,1490268.6946169997,350264.9400452176 
 07/01  15:45:00,11980937.645087406,1427589.5005439536,348971.10071741726 
 07/01  16:00:00,11913476.689038763,1366332.6980680036,347813.22493235697 
 07/01  16:15:00,10884962.75302879,1244134.1772584645,342444.7477012824 
 07/01  16:30:00,10863886.79209767,1224405.0126045204,342112.49113540124 
 07/01  16:45:00,10850003.369686581,1211821.715751607,341842.9470822262 
 07/01  17:00:00,10834904.969928645,1198030.310819307,341579.4808771468 
 07/01  17:15:00,10849571.026223404,1210448.3577365405,341320.70241269784 
 07/01  17:30:00,10866533.047804348,1225060.1707079832,341073.30323156604 
