Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),PLENUM-1:Zone Mean Air Temperature [C](TimeStep),SPACE1-1:Zone Mean Air Temperature [C](TimeStep),SPACE2-1:Zone Mean Air Temperature [C](TimeStep),SPACE3-1:Zone Mean Air Temperature [C](TimeStep),SPACE4-1:Zone Mean Air Temperature [C](TimeStep),SPACE5-1:Zone Mean Air Temperature [C](TimeStep),PLENUM-1:Zone Air Relative Humidity [%](TimeStep),PLENUM-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),PLENUM-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Air Relative Humidity [%](TimeStep),SPACE1-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE1-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Air Relative Humidity [%](TimeStep),SPACE2-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE2-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Air Relative Humidity [%](TimeStep),SPACE3-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE3-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Air Relative Humidity [%](TimeStep),SPACE4-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE4-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Air Relative Humidity [%](TimeStep),SPACE5-1:Zone Thermostat Heating Setpoint Temperature [C](TimeStep),SPACE5-1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),OCCUPY-1:Schedule Value [](TimeStep),Electricity:Facility [J](TimeStep),Cooling:Electricity [J](TimeStep),Fans:Electricity [J](TimeStep) 
 07/03  00:45:00,13.200000000000001,22.217582203830208,20.510077978084446,20.564834837056303,20.489072626897034,20.675005395456047,21.290365493600458,57.8813139298977,0.0,0.0,61.92334722245776,18.0,27.0,57.97780993353518,18.0,27.0,62.4464487304083,18.0,27.0,57.3932094490046,18.0,27.0,66.30697789287942,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/03  01:00:00,12.8,22.04070576503647,20.441271280203786,20.499898213635454,20.420861957065526,20.596998279204783,21.235828994355828,58.50854922475591,0.0,0.0,62.1868671184362,18.0,27.0,58.21053221101994,18.0,27.0,62.70992999682523,18.0,27.0,57.6698439243443,18.0,27.0,66.52917938579827,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/03  01:15:00,12.8,21.868574719201888,20.38241736949183,20.442676824675097,20.362120708901564,20.52698099640788,21.183661411064353,59.12631641464906,0.0,0.0,62.413271479420814,18.0,27.0,58.41647569210977,18.0,27.0,62.937833488999104,18.0,27.0,57.91942539907796,18.0,27.0,66.74251355367694,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/03  01:30:00,12.8,21.70082694783807,20.331773222099482,20.391888696893933,20.31123662581887,20.465003439446335,21.133735519241704,59.735423395533225,0.0,0.0,62.608834711847784,18.0,27.0,58.59995144096175,18.0,27.0,63.13600893158584,18.0,27.0,58.14136062630091,18.0,27.0,66.94740015243691,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/03  01:45:00,12.8,21.537365234416058,20.28565388456045,20.344856399888428,20.264778896342932,20.408340444758583,21.086026926729215,60.33577155063343,0.0,0.0,62.78752731798129,18.0,27.0,58.77043817055399,18.0,27.0,63.31755989284227,18.0,27.0,58.3451048283486,18.0,27.0,67.1438489445574,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/03  02:00:00,12.8,21.378456262224518,20.242459326995796,20.300350426179286,20.2211163207848,20.355670451016053,21.04053474703114,60.925916252712355,0.0,0.0,62.95540391373527,18.0,27.0,58.932281384427846,18.0,27.0,63.48871932765172,18.0,27.0,58.53520841048716,18.0,27.0,67.33177593417827,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/03  02:15:00,12.650000000000002,21.2243672598276,20.198573777082878,20.25603866925088,20.177088388447537,20.3042739264541,20.997214260060716,61.50437226845641,0.0,0.0,63.126488741498896,18.0,27.0,59.0939153673271,18.0,27.0,63.661841530892694,18.0,27.0,58.72138868474378,18.0,27.0,67.51128280291667,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/03  02:30:00,12.5,21.07613819324379,20.154780242323795,20.212419625567627,20.133305647635275,20.254450362810093,20.958736497195453,62.06667093565185,0.0,0.0,63.29773443832678,18.0,27.0,59.2535110194263,18.0,27.0,63.83452298594127,18.0,27.0,58.90250837594715,18.0,27.0,67.67117055864955,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/03  02:45:00,12.349999999999998,20.93245679107671,20.11231838587008,20.170267854598546,20.0908669888303,20.20688321101601,20.91967955812073,62.61724409809052,0.0,0.0,63.464269602811584,18.0,27.0,59.40820084671302,18.0,27.0,64.00241142059208,18.0,27.0,59.0760121558295,18.0,27.0,67.83390766317802,18.0,27.0,0.0,427500.0,0.0,0.0 
 07/03  03:00:00,12.2,20.81655574105703,20.07155680618095,20.129799722843178,20.05012950886356,20.16170411122844,20.882306874508213,63.065371224796316,0.0,0.0,63.624603234009506,18.0,27.0,59.557137584677676,18.0,27.0,64.16403290363,18.0,27.0,59.241334589534326,18.0,27.0,67.99003587772732,18.0,27.0,0.0,427500.0,0.0,0.0 
