step,day,minute_of_day,zone,zone_temp_c,radiant_temp_c,rh_pct,setpoint_c,occupied,pmv,ppd,comfort_enforced
13,1,210,SPACE2-1,16.699,16.609,27.07,nan,False,0.0,5.0,False
13,1,210,SPACE3-1,16.7,16.469,26.89,nan,False,0.0,5.0,False
13,1,210,SPACE4-1,16.7,16.609,27.09,nan,False,0.0,5.0,False
13,1,210,SPACE5-1,18.628,18.868,23.64,nan,False,0.0,5.0,False
14,1,225,SPACE1-1,16.7,16.42,26.72,nan,False,0.0,5.0,False
14,1,225,SPACE2-1,16.699,16.576,26.87,nan,False,0.0,5.0,False
14,1,225,SPACE3-1,16.7,16.445,26.7,nan,False,0.0,5.0,False
14,1,225,SPACE4-1,16.7,16.576,26.88,nan,False,0.0,5.0,False
14,1,225,SPACE5-1,18.583,18.833,23.52,nan,False,0.0,5.0,False
15,1,240,SPACE1-1,16.699,16.399,26.51,nan,False,0.0,5.0,False
15,1,240,SPACE2-1,16.701,16.549,26.65,nan,False,0.0,5.0,False
15,1,240,SPACE3-1,16.7,16.423,26.49,nan,False,0.0,5.0,False
15,1,240,SPACE4-1,16.699,16.55,26.67,nan,False,0.0,5.0,False
15,1,240,SPACE5-1,18.541,18.799,23.39,nan,False,0.0,5.0,False
16,1,255,SPACE1-1,16.7,16.38,26.3,nan,False,0.0,5.0,False
16,1,255,SPACE2-1,16.7,16.528,26.44,nan,False,0.0,5.0,False
16,1,255,SPACE3-1,16.7,16.404,26.28,nan,False,0.0,5.0,False
16,1,255,SPACE4-1,16.701,16.528,26.45,nan,False,0.0,5.0,False
16,1,255,SPACE5-1,18.501,18.768,23.25,nan,False,0.0,5.0,False
17,1,270,SPACE1-1,16.699,16.368,26.09,nan,False,0.0,5.0,False
17,1,270,SPACE2-1,16.7,16.512,26.23,nan,False,0.0,5.0,False
17,1,270,SPACE3-1,16.701,16.392,26.07,nan,False,0.0,5.0,False
17,1,270,SPACE4-1,16.701,16.512,26.25,nan,False,0.0,5.0,False
17,1,270,SPACE5-1,18.469,18.738,23.1,nan,False,0.0,5.0,False
18,1,285,SPACE1-1,16.7,16.358,25.88,nan,False,0.0,5.0,False
18,1,285,SPACE2-1,16.7,16.5,26.03,nan,False,0.0,5.0,False
18,1,285,SPACE3-1,16.701,16.382,25.86,nan,False,0.0,5.0,False
18,1,285,SPACE4-1,16.7,16.5,26.05,nan,False,0.0,5.0,False
18,1,285,SPACE5-1,18.442,18.711,22.94,nan,False,0.0,5.0,False
19,1,300,SPACE1-1,16.7,16.351,25.68,nan,False,0.0,5.0,False
19,1,300,SPACE2-1,16.7,16.49,25.83,nan,False,0.0,5.0,False
19,1,300,SPACE3-1,16.7,16.375,25.67,nan,False,0.0,5.0,False
19,1,300,SPACE4-1,16.7,16.49,25.85,nan,False,0.0,5.0,False
19,1,300,SPACE5-1,18.419,18.688,22.79,nan,False,0.0,5.0,False
20,1,315,SPACE1-1,16.7,16.345,25.49,nan,False,0.0,5.0,False
20,1,315,SPACE2-1,16.7,16.482,25.64,nan,False,0.0,5.0,False
20,1,315,SPACE3-1,16.701,16.368,25.47,nan,False,0.0,5.0,False
20,1,315,SPACE4-1,16.7,16.482,25.65,nan,False,0.0,5.0,False
20,1,315,SPACE5-1,18.398,18.667,22.63,nan,False,0.0,5.0,False
21,1,330,SPACE1-1,16.7,16.338,25.29,nan,False,0.0,5.0,False
21,1,330,SPACE2-1,16.7,16.473,25.44,nan,False,0.0,5.0,False
21,1,330,SPACE3-1,16.7,16.36,25.27,nan,False,0.0,5.0,False
21,1,330,SPACE4-1,16.7,16.473,25.46,nan,False,0.0,5.0,False
21,1,330,SPACE5-1,18.378,18.647,22.48,nan,False,0.0,5.0,False
22,1,345,SPACE1-1,16.7,16.33,25.1,nan,False,0.0,5.0,False
22,1,345,SPACE2-1,16.701,16.466,25.24,nan,False,0.0,5.0,False
22,1,345,SPACE3-1,16.7,16.353,25.08,nan,False,0.0,5.0,False
22,1,345,SPACE4-1,16.701,16.466,25.26,nan,False,0.0,5.0,False
22,1,345,SPACE5-1,18.36,18.63,22.33,nan,False,0.0,5.0,False
23,1,360,SPACE1-1,16.701,16.324,24.91,nan,False,0.0,5.0,False
23,1,360,SPACE2-1,16.701,16.459,25.05,nan,False,0.0,5.0,False
23,1,360,SPACE3-1,16.7,16.346,24.89,nan,False,0.0,5.0,False
23,1,360,SPACE4-1,16.7,16.459,25.07,nan,False,0.0,5.0,False
23,1,360,SPACE5-1,18.343,18.613,22.18,nan,False,0.0,5.0,False
24,1,375,SPACE1-1,16.699,16.318,24.72,nan,False,0.0,5.0,False
24,1,375,SPACE2-1,16.7,16.453,24.86,nan,False,0.0,5.0,False
24,1,375,SPACE3-1,16.7,16.341,24.71,nan,False,0.0,5.0,False
24,1,375,SPACE4-1,16.7,16.453,24.88,nan,False,0.0,5.0,False
24,1,375,SPACE5-1,18.328,18.598,22.03,nan,False,0.0,5.0,False
25,1,392,SPACE1-1,18.444,16.311,18.94,nan,False,0.0,5.0,False
25,1,392,SPACE2-1,18.782,16.447,16.93,nan,False,0.0,5.0,False
25,1,392,SPACE3-1,18.403,16.334,19.09,nan,False,0.0,5.0,False
25,1,392,SPACE4-1,18.804,16.447,16.6,nan,False,0.0,5.0,False
25,1,392,SPACE5-1,19.416,18.585,18.69,nan,False,0.0,5.0,False
26,1,408,SPACE1-1,19.698,16.91,15.93,nan,False,0.0,5.0,False
26,1,408,SPACE2-1,20.188,17.14,13.28,nan,False,0.0,5.0,False
26,1,408,SPACE3-1,19.63,16.922,16.16,nan,False,0.0,5.0,False
26,1,408,SPACE4-1,20.214,17.146,12.91,nan,False,0.0,5.0,False
26,1,408,SPACE5-1,20.342,18.971,16.64,nan,False,0.0,5.0,False
27,1,425,SPACE1-1,20.276,17.32,14.54,nan,False,0.0,5.0,False
27,1,425,SPACE2-1,20.82,17.626,11.81,nan,False,0.0,5.0,False
27,1,425,SPACE3-1,20.197,17.326,14.78,nan,False,0.0,5.0,False
27,1,425,SPACE4-1,20.841,17.633,11.46,nan,False,0.0,5.0,False
27,1,425,SPACE5-1,20.795,19.254,15.63,nan,False,0.0,5.0,False
28,1,442,SPACE1-1,20.646,17.629,13.5,nan,False,0.0,5.0,False
28,1,442,SPACE2-1,21.218,17.994,10.83,nan,False,0.0,5.0,False
28,1,442,SPACE3-1,20.563,17.633,13.75,nan,False,0.0,5.0,False
28,1,442,SPACE4-1,21.233,18.001,10.52,nan,False,0.0,5.0,False
28,1,442,SPACE5-1,21.092,19.47,14.83,nan,False,0.0,5.0,False
29,1,458,SPACE1-1,20.934,17.88,12.21,nan,False,0.0,5.0,False
29,1,458,SPACE2-1,21.525,18.29,9.78,nan,False,0.0,5.0,False
29,1,458,SPACE3-1,20.851,17.882,12.46,nan,False,0.0,5.0,False
29,1,458,SPACE4-1,21.534,18.296,9.55,nan,False,0.0,5.0,False
29,1,458,SPACE5-1,21.334,19.646,13.75,nan,False,0.0,5.0,False
30,1,472,SPACE1-1,21.18,18.105,11.21,nan,False,0.0,5.0,False
30,1,472,SPACE2-1,21.846,18.63,9.05,nan,False,0.0,5.0,False
30,1,472,SPACE3-1,21.1,18.111,11.43,nan,False,0.0,5.0,False
30,1,472,SPACE4-1,21.796,18.558,8.92,nan,False,0.0,5.0,False
