step,day,minute_of_day,zone,zone_temp_c,radiant_temp_c,rh_pct,setpoint_c,occupied,pmv,ppd,comfort_enforced
13,1,210,SPACE1-1,16.36,16.34,27.5,16.0,False,0.0,5.0,False
13,1,210,SPACE2-1,16.549,16.583,27.33,16.0,False,0.0,5.0,False
13,1,210,SPACE3-1,16.393,16.379,27.42,16.0,False,0.0,5.0,False
13,1,210,SPACE4-1,16.541,16.581,27.36,16.0,False,0.0,5.0,False
13,1,210,SPACE5-1,18.623,18.862,23.65,16.0,False,0.0,5.0,False
14,1,225,SPACE1-1,16.304,16.29,27.4,16.0,False,0.0,5.0,False
14,1,225,SPACE2-1,16.485,16.524,27.24,16.0,False,0.0,5.0,False
14,1,225,SPACE3-1,16.337,16.329,27.32,16.0,False,0.0,5.0,False
14,1,225,SPACE4-1,16.477,16.521,27.26,16.0,False,0.0,5.0,False
14,1,225,SPACE5-1,18.575,18.823,23.53,16.0,False,0.0,5.0,False
15,1,240,SPACE1-1,16.253,16.242,27.28,16.0,False,0.0,5.0,False
15,1,240,SPACE2-1,16.43,16.469,27.12,16.0,False,0.0,5.0,False
15,1,240,SPACE3-1,16.285,16.281,27.2,16.0,False,0.0,5.0,False
15,1,240,SPACE4-1,16.423,16.466,27.14,16.0,False,0.0,5.0,False
15,1,240,SPACE5-1,18.529,18.785,23.41,16.0,False,0.0,5.0,False
16,1,255,SPACE1-1,16.205,16.197,27.14,16.0,False,0.0,5.0,False
16,1,255,SPACE2-1,16.38,16.419,26.98,16.0,False,0.0,5.0,False
16,1,255,SPACE3-1,16.236,16.235,27.07,16.0,False,0.0,5.0,False
16,1,255,SPACE4-1,16.373,16.416,27.01,16.0,False,0.0,5.0,False
16,1,255,SPACE5-1,18.485,18.748,23.27,16.0,False,0.0,5.0,False
17,1,270,SPACE1-1,16.165,16.159,26.99,16.0,False,0.0,5.0,False
17,1,270,SPACE2-1,16.339,16.376,26.84,16.0,False,0.0,5.0,False
17,1,270,SPACE3-1,16.196,16.197,26.92,16.0,False,0.0,5.0,False
17,1,270,SPACE4-1,16.332,16.373,26.87,16.0,False,0.0,5.0,False
17,1,270,SPACE5-1,18.448,18.713,23.13,16.0,False,0.0,5.0,False
18,1,285,SPACE1-1,16.133,16.126,26.84,16.0,False,0.0,5.0,False
18,1,285,SPACE2-1,16.305,16.338,26.7,16.0,False,0.0,5.0,False
18,1,285,SPACE3-1,16.164,16.164,26.76,16.0,False,0.0,5.0,False
18,1,285,SPACE4-1,16.298,16.335,26.72,16.0,False,0.0,5.0,False
18,1,285,SPACE5-1,18.416,18.681,22.98,16.0,False,0.0,5.0,False
19,1,300,SPACE1-1,16.105,16.098,26.68,16.0,False,0.0,5.0,False
19,1,300,SPACE2-1,16.274,16.306,26.54,16.0,False,0.0,5.0,False
19,1,300,SPACE3-1,16.135,16.134,26.61,16.0,False,0.0,5.0,False
19,1,300,SPACE4-1,16.269,16.302,26.57,16.0,False,0.0,5.0,False
19,1,300,SPACE5-1,18.388,18.651,22.83,16.0,False,0.0,5.0,False
20,1,315,SPACE1-1,16.081,16.073,26.51,16.0,False,0.0,5.0,False
20,1,315,SPACE2-1,16.248,16.277,26.39,16.0,False,0.0,5.0,False
20,1,315,SPACE3-1,16.11,16.109,26.44,16.0,False,0.0,5.0,False
20,1,315,SPACE4-1,16.243,16.274,26.41,16.0,False,0.0,5.0,False
20,1,315,SPACE5-1,18.361,18.624,22.69,16.0,False,0.0,5.0,False
21,1,330,SPACE1-1,16.057,16.048,26.35,16.0,False,0.0,5.0,False
21,1,330,SPACE2-1,16.223,16.249,26.23,16.0,False,0.0,5.0,False
21,1,330,SPACE3-1,16.086,16.084,26.28,16.0,False,0.0,5.0,False
21,1,330,SPACE4-1,16.218,16.246,26.25,16.0,False,0.0,5.0,False
21,1,330,SPACE5-1,18.336,18.598,22.54,16.0,False,0.0,5.0,False
22,1,345,SPACE1-1,16.035,16.025,26.19,16.0,False,0.0,5.0,False
22,1,345,SPACE2-1,16.2,16.224,26.06,16.0,False,0.0,5.0,False
22,1,345,SPACE3-1,16.063,16.061,26.12,16.0,False,0.0,5.0,False
22,1,345,SPACE4-1,16.195,16.222,26.09,16.0,False,0.0,5.0,False
22,1,345,SPACE5-1,18.313,18.575,22.4,16.0,False,0.0,5.0,False
23,1,360,SPACE1-1,16.014,16.004,26.03,21.5,False,0.0,5.0,False
23,1,360,SPACE2-1,16.178,16.201,25.9,21.5,False,0.0,5.0,False
23,1,360,SPACE3-1,16.042,16.039,25.96,21.5,False,0.0,5.0,False
23,1,360,SPACE4-1,16.174,16.199,25.92,21.5,False,0.0,5.0,False
23,1,360,SPACE5-1,18.291,18.554,22.26,21.5,False,0.0,5.0,False
24,1,377,SPACE1-1,18.121,15.984,21.75,21.5,False,0.0,5.0,False
24,1,377,SPACE2-1,18.573,16.18,21.23,21.5,False,0.0,5.0,False
24,1,377,SPACE3-1,18.093,16.019,21.78,21.5,False,0.0,5.0,False
24,1,377,SPACE4-1,18.596,16.178,21.21,21.5,False,0.0,5.0,False
24,1,377,SPACE5-1,19.421,18.533,20.07,21.5,False,0.0,5.0,False
25,1,392,SPACE1-1,19.329,16.675,18.21,21.5,False,0.0,5.0,False
25,1,392,SPACE2-1,19.897,16.939,16.09,21.5,False,0.0,5.0,False
25,1,392,SPACE3-1,19.267,16.696,18.37,21.5,False,0.0,5.0,False
25,1,392,SPACE4-1,19.926,16.944,15.77,21.5,False,0.0,5.0,False
25,1,392,SPACE5-1,20.189,18.919,18.01,21.5,False,0.0,5.0,False
26,1,410,SPACE1-1,20.034,17.127,16.64,21.5,False,0.0,5.0,False
26,1,410,SPACE2-1,20.629,17.457,14.2,21.5,False,0.0,5.0,False
26,1,410,SPACE3-1,19.959,17.138,16.84,21.5,False,0.0,5.0,False
26,1,410,SPACE4-1,20.653,17.464,13.85,21.5,False,0.0,5.0,False
26,1,410,SPACE5-1,20.69,19.194,17.0,21.5,False,0.0,5.0,False
27,1,428,SPACE1-1,20.479,17.47,15.32,21.5,False,0.0,5.0,False
27,1,428,SPACE2-1,21.084,17.853,12.71,21.5,False,0.0,5.0,False
27,1,428,SPACE3-1,20.398,17.478,15.55,21.5,False,0.0,5.0,False
27,1,428,SPACE4-1,21.101,17.86,12.36,21.5,False,0.0,5.0,False
27,1,428,SPACE5-1,21.021,19.411,16.11,21.5,False,0.0,5.0,False
28,1,442,SPACE1-1,20.79,17.74,13.63,21.5,False,0.0,5.0,False
28,1,442,SPACE2-1,21.404,18.167,10.98,21.5,False,0.0,5.0,False
28,1,442,SPACE3-1,20.71,17.746,13.87,21.5,False,0.0,5.0,False
28,1,442,SPACE4-1,21.415,18.173,10.68,21.5,False,0.0,5.0,False
28,1,442,SPACE5-1,21.267,19.593,14.86,21.5,False,0.0,5.0,False
29,1,450,SPACE1-1,21.037,17.968,12.52,21.5,False,0.0,5.0,False
29,1,450,SPACE2-1,21.495,18.427,10.1,21.5,False,0.0,5.0,False
29,1,450,SPACE3-1,20.957,17.973,12.76,21.5,False,0.0,5.0,False
29,1,450,SPACE4-1,21.502,18.432,9.84,21.5,False,0.0,5.0,False
29,1,450,SPACE5-1,21.459,19.75,13.99,21.5,False,0.0,5.0,False
30,1,465,SPACE1-1,21.255,18.166,11.41,21.5,False,0.0,5.0,False
30,1,465,SPACE2-1,21.499,18.691,9.41,21.5,False,0.0,5.0,False
30,1,465,SPACE3-1,21.178,18.175,11.64,21.5,False,0.0,5.0,False
30,1,465,SPACE4-1,21.497,18.618,9.23,21.5,False,0.0,5.0,False
30,1,465,SPACE5-1,21.502,19.881,13.12,21.5,False,0.0,5.0,False
31,1,480,SPACE1-1,21.473,18.371,10.58,16.0,False,0.0,5.0,False
31,1,480,SPACE2-1,21.503,19.196,9.03,16.0,False,0.0,5.0,False
31,1,480,SPACE3-1,21.391,18.371,10.8,16.0,False,0.0,5.0,False
31,1,480,SPACE4-1,21.504,18.764,8.9,16.0,False,0.0,5.0,False
31,1,480,SPACE5-1,21.502,19.975,12.44,16.0,False,0.0,5.0,False
32,1,497,SPACE1-1,19.144,18.576,12.21,16.0,False,0.0,5.0,False
32,1,497,SPACE2-1,19.74,19.725,10.09,16.0,False,0.0,5.0,False
32,1,497,SPACE3-1,19.121,18.557,12.4,16.0,False,0.0,5.0,False
32,1,497,SPACE4-1,19.128,18.889,10.49,16.0,False,0.0,5.0,False
32,1,497,SPACE5-1,20.333,20.047,13.15,16.0,False,0.0,5.0,False
33,1,515,SPACE1-1,18.879,18.265,13.37,21.5,True,-0.817,19.08,True
33,1,515,SPACE2-1,19.992,20.05,11.24,21.5,True,-0.537,11.03,True
33,1,515,SPACE3-1,18.874,18.242,13.55,21.5,True,-0.819,19.15,True
33,1,515,SPACE4-1,18.873,18.523,11.83,21.5,True,-0.8,18.5,True
33,1,515,SPACE5-1,20.589,20.047,14.17,21.0,True,-0.459,9.4,False
