step,day,minute_of_day,zone,zone_temp_c,radiant_temp_c,rh_pct,setpoint_c,occupied,pmv,ppd,comfort_enforced
13,1,210,SPACE1-1,18.001,17.103,24.78,18.0,False,0.0,5.0,False
13,1,210,SPACE2-1,17.999,17.284,24.93,18.0,False,0.0,5.0,False
13,1,210,SPACE3-1,18.001,17.13,24.76,18.0,False,0.0,5.0,False
13,1,210,SPACE4-1,18.0,17.285,24.95,18.0,False,0.0,5.0,False
13,1,210,SPACE5-1,18.776,19.016,23.42,18.0,False,0.0,5.0,False
14,1,225,SPACE1-1,18.0,17.089,24.6,18.0,False,0.0,5.0,False
14,1,225,SPACE2-1,18.001,17.27,24.74,18.0,False,0.0,5.0,False
14,1,225,SPACE3-1,18.0,17.116,24.59,18.0,False,0.0,5.0,False
14,1,225,SPACE4-1,18.0,17.27,24.75,18.0,False,0.0,5.0,False
14,1,225,SPACE5-1,18.74,18.993,23.29,18.0,False,0.0,5.0,False
15,1,240,SPACE1-1,18.001,17.076,24.41,18.0,False,0.0,5.0,False
15,1,240,SPACE2-1,17.999,17.258,24.55,18.0,False,0.0,5.0,False
15,1,240,SPACE3-1,18.001,17.103,24.4,18.0,False,0.0,5.0,False
15,1,240,SPACE4-1,18.0,17.258,24.56,18.0,False,0.0,5.0,False
15,1,240,SPACE5-1,18.703,18.968,23.15,18.0,False,0.0,5.0,False
16,1,255,SPACE1-1,17.999,17.064,24.22,18.0,False,0.0,5.0,False
16,1,255,SPACE2-1,18.001,17.246,24.35,18.0,False,0.0,5.0,False
16,1,255,SPACE3-1,18.001,17.091,24.2,18.0,False,0.0,5.0,False
16,1,255,SPACE4-1,17.999,17.247,24.36,18.0,False,0.0,5.0,False
16,1,255,SPACE5-1,18.666,18.944,23.01,18.0,False,0.0,5.0,False
17,1,270,SPACE1-1,18.0,17.057,24.02,18.0,False,0.0,5.0,False
17,1,270,SPACE2-1,18.0,17.239,24.16,18.0,False,0.0,5.0,False
17,1,270,SPACE3-1,17.999,17.085,24.01,18.0,False,0.0,5.0,False
17,1,270,SPACE4-1,18.001,17.239,24.17,18.0,False,0.0,5.0,False
17,1,270,SPACE5-1,18.636,18.92,22.85,18.0,False,0.0,5.0,False
18,1,285,SPACE1-1,18.0,17.052,23.83,18.0,False,0.0,5.0,False
18,1,285,SPACE2-1,18.001,17.233,23.97,18.0,False,0.0,5.0,False
18,1,285,SPACE3-1,18.001,17.079,23.82,18.0,False,0.0,5.0,False
18,1,285,SPACE4-1,18.002,17.234,23.98,18.0,False,0.0,5.0,False
18,1,285,SPACE5-1,18.613,18.898,22.69,18.0,False,0.0,5.0,False
19,1,300,SPACE1-1,17.999,17.049,23.65,18.0,False,0.0,5.0,False
19,1,300,SPACE2-1,17.999,17.229,23.79,18.0,False,0.0,5.0,False
19,1,300,SPACE3-1,17.999,17.076,23.63,18.0,False,0.0,5.0,False
19,1,300,SPACE4-1,17.999,17.229,23.81,18.0,False,0.0,5.0,False
19,1,300,SPACE5-1,18.594,18.879,22.53,18.0,False,0.0,5.0,False
20,1,315,SPACE1-1,17.999,17.046,23.47,18.0,False,0.0,5.0,False
20,1,315,SPACE2-1,18.0,17.225,23.61,18.0,False,0.0,5.0,False
20,1,315,SPACE3-1,18.001,17.073,23.45,18.0,False,0.0,5.0,False
20,1,315,SPACE4-1,18.0,17.225,23.62,18.0,False,0.0,5.0,False
20,1,315,SPACE5-1,18.577,18.861,22.38,18.0,False,0.0,5.0,False
21,1,330,SPACE1-1,18.0,17.041,23.29,18.0,False,0.0,5.0,False
21,1,330,SPACE2-1,18.0,17.22,23.43,18.0,False,0.0,5.0,False
21,1,330,SPACE3-1,18.001,17.068,23.27,18.0,False,0.0,5.0,False
21,1,330,SPACE4-1,18.0,17.22,23.44,18.0,False,0.0,5.0,False
21,1,330,SPACE5-1,18.561,18.846,22.22,18.0,False,0.0,5.0,False
22,1,345,SPACE1-1,18.0,17.036,23.11,18.0,False,0.0,5.0,False
22,1,345,SPACE2-1,17.999,17.216,23.25,18.0,False,0.0,5.0,False
22,1,345,SPACE3-1,18.001,17.063,23.09,18.0,False,0.0,5.0,False
22,1,345,SPACE4-1,17.999,17.216,23.26,18.0,False,0.0,5.0,False
22,1,345,SPACE5-1,18.546,18.832,22.07,18.0,False,0.0,5.0,False
23,1,360,SPACE1-1,18.0,17.032,22.94,18.0,False,0.0,5.0,False
23,1,360,SPACE2-1,18.0,17.211,23.07,18.0,False,0.0,5.0,False
23,1,360,SPACE3-1,18.001,17.059,22.92,18.0,False,0.0,5.0,False
23,1,360,SPACE4-1,18.0,17.211,23.08,18.0,False,0.0,5.0,False
23,1,360,SPACE5-1,18.533,18.819,21.92,18.0,False,0.0,5.0,False
24,1,375,SPACE1-1,18.001,17.028,22.76,18.0,False,0.0,5.0,False
24,1,375,SPACE2-1,17.999,17.208,22.9,18.0,False,0.0,5.0,False
24,1,375,SPACE3-1,18.0,17.054,22.75,18.0,False,0.0,5.0,False
24,1,375,SPACE4-1,18.0,17.207,22.91,18.0,False,0.0,5.0,False
