step,day,minute_of_day,zone_temp_c,outdoor_temp_c,setpoint_c,occupied,pmv,energy_kwh_step,latency_s,agent_ran,agent_proposed_c,overridden,override_reason,reasoning
77,0,1170,20.446,17.54,18.0,False,0.0,0.0,0.0,False,,False,,
78,0,1185,20.311,17.06,18.0,False,0.0,0.0,0.0,False,,False,,
79,0,1200,20.161,16.57,18.0,False,0.0,0.0,0.0,False,,False,,
80,0,1215,19.997,16.07,18.0,False,0.0,0.0,0.0,False,,False,,
81,0,1230,19.82,15.56,18.0,False,0.0,0.0,0.0,False,,False,,
82,0,1245,19.629,15.04,18.0,False,0.0,0.0,0.0,False,,False,,
83,0,1260,19.425,14.52,18.0,False,0.0,0.0,0.0,False,,False,,
84,0,1275,19.208,14.0,18.0,False,0.0,0.0,0.0,False,,False,,
85,0,1290,18.979,13.48,18.0,False,0.0,0.0,0.0,False,,False,,
86,0,1305,18.783,12.96,18.0,False,0.0,0.0225,0.0,False,,False,,
87,0,1320,18.626,12.44,18.0,False,0.0,0.0486,0.0,False,,False,,
88,0,1335,18.501,11.93,18.0,False,0.0,0.0713,0.0,False,,False,,
89,0,1350,18.401,11.43,18.0,False,0.0,0.0913,0.0,False,,False,,
90,0,1365,18.321,10.94,18.0,False,0.0,0.1091,0.0,False,,False,,
91,0,1380,18.257,10.46,18.0,False,0.0,0.1251,0.0,False,,False,,
92,0,1395,18.206,10.0,18.0,False,0.0,0.1394,0.0,False,,False,,
93,0,1410,18.165,9.56,18.0,False,0.0,0.1523,0.0,False,,False,,
94,0,1425,18.132,9.13,18.0,False,0.0,0.1642,0.0,False,,False,,
95,1,0,18.106,8.73,18.0,False,0.0,0.1748,0.0,False,,False,,
